Date,RATE A,RATE B,RATE C,Load
01/01/2024 00.00,0.0,0.0,84.0,84.0
01/01/2024 00.15,0.0,0.0,84.0,84.0
01/01/2024 00.30,0.0,0.0,84.0,84.0
01/01/2024 00.45,0.0,0.0,84.0,84.0
01/01/2024 01.00,0.0,0.0,96.0,96.0
01/01/2024 01.15,0.0,0.0,96.0,96.0
01/01/2024 01.30,0.0,0.0,84.0,84.0
01/01/2024 01.45,0.0,0.0,84.0,84.0
01/01/2024 02.00,0.0,0.0,96.0,96.0
01/01/2024 02.15,0.0,0.0,84.0,84.0
01/01/2024 02.30,0.0,0.0,84.0,84.0
01/01/2024 02.45,0.0,0.0,84.0,84.0
01/01/2024 03.00,0.0,0.0,72.0,72.0
01/01/2024 03.15,0.0,0.0,96.0,96.0
01/01/2024 03.30,0.0,0.0,84.0,84.0
01/01/2024 03.45,0.0,0.0,84.0,84.0
01/01/2024 04.00,0.0,0.0,84.0,84.0
01/01/2024 04.15,0.0,0.0,84.0,84.0
01/01/2024 04.30,0.0,0.0,84.0,84.0
01/01/2024 04.45,0.0,0.0,96.0,96.0
01/01/2024 05.00,0.0,0.0,84.0,84.0
01/01/2024 05.15,0.0,0.0,96.0,96.0
01/01/2024 05.30,0.0,0.0,84.0,84.0
01/01/2024 05.45,0.0,0.0,72.0,72.0
01/01/2024 06.00,0.0,0.0,84.0,84.0
01/01/2024 06.15,0.0,0.0,72.0,72.0
01/01/2024 06.30,0.0,0.0,72.0,72.0
01/01/2024 06.45,0.0,0.0,48.0,48.0
01/01/2024 07.00,0.0,0.0,0.0,0.0
01/01/2024 07.15,0.0,0.0,0.0,0.0
01/01/2024 07.30,0.0,0.0,0.0,0.0
01/01/2024 07.45,0.0,0.0,0.0,0.0
01/01/2024 08.00,0.0,0.0,0.0,0.0
01/01/2024 08.15,0.0,0.0,0.0,0.0
01/01/2024 08.30,0.0,0.0,0.0,0.0
01/01/2024 08.45,0.0,0.0,0.0,0.0
01/01/2024 09.00,0.0,0.0,0.0,0.0
01/01/2024 09.15,0.0,0.0,0.0,0.0
01/01/2024 09.30,0.0,0.0,0.0,0.0
01/01/2024 09.45,0.0,0.0,0.0,0.0
01/01/2024 10.00,0.0,0.0,0.0,0.0
01/01/2024 10.15,0.0,0.0,0.0,0.0
01/01/2024 10.30,0.0,0.0,0.0,0.0
01/01/2024 10.45,0.0,0.0,0.0,0.0
01/01/2024 11.00,0.0,0.0,0.0,0.0
01/01/2024 11.15,0.0,0.0,0.0,0.0
01/01/2024 11.30,0.0,0.0,0.0,0.0
01/01/2024 11.45,0.0,0.0,0.0,0.0
01/01/2024 12.00,0.0,0.0,0.0,0.0
01/01/2024 12.15,0.0,0.0,0.0,0.0
01/01/2024 12.30,0.0,0.0,0.0,0.0
01/01/2024 12.45,0.0,0.0,0.0,0.0
